PERMNO,start,ending
70092.0,1989-03-08,2009-12-18
70308.0,2009-09-09,2016-05-20
70332.0,1997-07-28,2019-08-08
70500.0,1998-10-08,2016-05-27
70519.0,1988-05-26,2023-12-29
70536.0,1994-09-21,2015-11-18
70578.0,1989-01-12,2023-12-29
71175.0,1994-03-11,2021-09-17
71563.0,1997-12-04,2023-12-29
72726.0,1997-08-15,2023-12-29
73139.0,2000-12-12,2023-12-29
75034.0,1987-04-09,2023-12-29
75100.0,2000-06-21,2021-01-06
75107.0,2018-05-31,2022-12-21
75154.0,1998-12-22,2023-12-29
75175.0,1996-12-03,2009-12-18
75186.0,1997-06-02,2023-12-29
75224.0,2006-02-01,2017-03-15
75241.0,2008-09-24,2023-12-29
75257.0,1995-07-03,2011-12-20
75341.0,2017-07-26,2022-09-30
75489.0,1998-10-07,2017-09-15
75510.0,1997-05-06,2023-12-29
75573.0,1999-06-24,2010-12-17
75577.0,2000-04-18,2015-12-28
75591.0,2019-08-09,2023-12-29
75592.0,2002-01-17,2016-02-19
75607.0,2003-03-31,2023-12-29
75646.0,1992-02-10,2015-03-20
75694.0,2021-08-30,2023-12-29
75789.0,1992-01-02,2008-09-10
75819.0,2009-03-04,2023-12-29
75825.0,2000-11-02,2023-12-29
75828.0,2002-07-22,2023-12-29
75912.0,2021-04-20,2023-12-29
76076.0,1993-12-31,2023-12-29
76082.0,2008-06-23,2023-12-29
76090.0,1990-02-08,2008-01-28
76095.0,2016-03-30,2023-12-29
76149.0,1998-11-13,2015-01-26
76185.0,2020-06-22,2023-12-29
76201.0,1999-11-08,2022-02-14
76226.0,1994-09-30,2023-12-29
76230.0,2021-01-21,2023-12-29
76240.0,2002-05-15,2010-04-29
76282.0,2003-02-24,2017-08-07
76605.0,1997-01-02,2023-12-29
76614.0,2013-05-01,2023-12-29
76619.0,2005-08-30,2013-05-08
76625.0,2008-11-17,2011-10-14
76638.0,2001-12-17,2009-03-03
76639.0,2008-01-02,2019-09-20
76644.0,1991-05-07,2014-07-01
76708.0,2009-06-09,2012-09-28
76709.0,2017-01-05,2023-12-29
76712.0,1998-10-02,2023-12-29
76744.0,2013-09-23,2023-12-29
76757.0,2000-12-11,2008-06-10
76795.0,2019-12-23,2023-12-29
76804.0,1996-07-19,2008-10-30
76841.0,2003-11-13,2023-12-29
76887.0,1999-08-02,2008-12-04
77037.0,2019-12-09,2023-12-29
77129.0,2006-04-03,2023-12-29
77157.0,2009-01-02,2016-12-01
77178.0,1999-07-22,2023-12-29
77182.0,2011-12-19,2021-09-17
77274.0,2004-07-01,2023-12-29
77281.0,2006-01-03,2017-08-28
77338.0,2009-12-23,2023-12-29
77357.0,2017-03-16,2023-12-29
77418.0,1999-01-04,2018-06-19
77462.0,1995-12-01,2020-04-03
77481.0,1999-10-26,2012-05-24
77496.0,2013-12-23,2023-12-29
77605.0,1995-02-24,2023-12-29
77606.0,1998-08-14,2020-09-18
77649.0,2019-12-23,2023-12-29
77659.0,1999-10-01,2017-07-25
77661.0,2005-07-05,2023-12-29
77668.0,2003-09-26,2018-12-21
77702.0,2000-06-08,2023-12-29
77730.0,2005-08-11,2023-12-29
77768.0,1992-07-06,2018-10-30
77976.0,2008-12-23,2011-02-28
78034.0,2005-10-11,2018-03-16
78139.0,1999-01-04,2011-12-30
78840.0,2006-12-01,2008-08-20
78877.0,2006-03-03,2018-03-16
78916.0,1999-04-12,2020-05-11
78927.0,2007-03-23,2009-03-27
78975.0,2000-12-11,2023-12-29
78987.0,2007-09-07,2023-12-29
79057.0,2002-01-30,2008-07-17
79057.0,2010-07-15,2023-12-29
79089.0,2012-04-04,2016-01-04
79094.0,2001-01-30,2014-11-04
79094.0,2023-12-18,2023-12-29
79103.0,2009-03-27,2023-12-29
79129.0,2007-07-02,2008-11-12
79129.0,2013-12-10,2018-08-27
79145.0,2014-12-05,2023-12-29
79212.0,2004-12-29,2010-06-25
79237.0,1999-12-31,2008-12-18
79237.0,2013-10-29,2017-07-25
79265.0,2009-01-02,2021-05-13
79323.0,1995-07-13,2023-12-29
79411.0,2012-10-05,2015-03-11
79452.0,2022-04-04,2023-12-29
79545.0,2011-12-19,2023-12-29
79547.0,2001-12-03,2023-12-29
79588.0,2014-03-24,2016-03-04
79637.0,2014-09-22,2023-12-29
79678.0,2015-08-31,2023-10-17
79698.0,2017-04-05,2023-12-29
79782.0,2017-03-02,2023-12-29
79785.0,2019-09-26,2023-12-29
79879.0,2000-07-27,2013-12-20
79881.0,2010-02-08,2017-03-17
79906.0,2017-02-28,2023-12-29
