GVKEY,TICKER,DATADATE,FYEAR,CSHTR_C,CSHTR_F,PRCH_C,PRCL_C,PRCC_C,MKVALT,est_avg_price,calendar_avg,fiscal_avg,COMPANYID,ENDDATE
007228,MDT,2004-04-30,2003.0,984002852.0,1075257752.0,52.92,42.15,48.61,61029.3516,47.89333333333334,3904773.222222222,4266895.841269841,31348,
007228,MDT,2005-04-30,2004.0,1102297900.0,1033614900.0,53.7,43.99,49.67,63776.8549,49.120000000000005,4374198.015873016,4101646.4285714286,31348,
007228,MDT,2006-04-30,2005.0,938991800.0,1153864700.0,58.91,48.7,57.57,57900.4784,55.06,3726157.936507937,4578828.174603174,31348,
007228,MDT,2007-04-30,2006.0,1583922100.0,1550443951.0,59.87,42.37,53.51,60520.5325,51.91666666666666,6285405.158730159,6152555.361111111,31348,
007228,MDT,2008-04-30,2007.0,1719679488.0,1706542851.0,57.99,44.87,50.27,54761.4464,51.04333333333333,6824124.952380952,6771995.44047619,31348,
007228,MDT,2009-04-30,2008.0,1869694385.0,2103041887.0,56.97,28.33,31.42,35812.48,38.906666666666666,7419422.162698412,8345404.313492063,31348,
007228,MDT,2010-04-30,2009.0,1862885296.0,1589931363.0,44.94,24.06,43.98,47942.9157,37.66,7392401.968253968,6309251.44047619,31348,
007228,MDT,2011-04-30,2010.0,1673196778.0,1719068673.0,46.66,30.8,37.09,44679.2635,38.18333333333333,6639669.753968254,6821701.083333333,31348,
007228,MDT,2012-04-30,2011.0,1640875086.0,1591526464.0,43.33,30.18,38.25,39620.849,37.25333333333333,6511409.071428572,6315581.206349206,31348,
007228,MDT,2013-04-30,2012.0,1199192167.0,1108141710.0,44.79,35.67,41.02,47427.5335,40.49333333333334,4758699.075396826,4397387.738095238,31348,
007228,MDT,2014-04-30,2013.0,1118973090.0,1182542641.0,58.85,41.16,57.39,58761.1212,52.46666666666666,4440369.404761905,4692629.527777778,31348,
007228,MDT,2015-04-30,2014.0,1789422526.0,1989166541.0,75.66,53.33,72.2,105841.6936,67.06333333333333,7100883.03968254,7893518.01984127,31348,
007228,MDT,2016-04-30,2015.0,1589779752.0,1448944326.0,79.5,55.54,76.92,110732.2747,70.65333333333332,6308649.80952381,5749779.071428572,31348,
007228,MDT,2017-04-30,2016.0,1367811582.0,1285308538.0,89.27,71.03,71.23,113785.5233,77.17666666666668,5427823.738095238,5100430.706349206,31348,
007228,MDT,2018-04-30,2017.0,1233078920.0,1268981524.0,89.72,69.35,80.75,108513.4883,79.94,4893170.317460317,5035640.968253968,31348,
007228,MDT,2019-04-30,2018.0,1281450496.0,1327391091.0,100.15,76.41,90.96,119067.3894,89.17333333333333,5085121.015873016,5267424.964285715,31348,
007228,MDT,2020-04-30,2019.0,1243033958.0,1324600802.0,115.94,81.6637,113.45,130929.1523,103.68456666666668,4932674.436507937,5256352.388888889,31348,
007228,MDT,2021-04-30,2020.0,1403142148.0,1219924670.0,122.1477,72.13,117.14,176139.8989,103.8059,5568024.396825396,4840970.912698412,31348,
007228,MDT,2022-04-30,2021.0,1227407043.0,1380833834.0,135.89,98.375,103.45,138876.3395,112.57166666666666,4870662.869047619,5479499.341269841,31348,
007228,MDT,2023-04-30,2022.0,1593154517.0,1574492368.0,114.31,75.765,77.72,121037.0786,89.26499999999999,6322041.734126984,6247985.587301588,31348,
007238,MEL.3,1998-12-31,1998.0,309304396.0,309304396.0,80.375,45.0,68.75,18007.2063,64.70833333333333,1227398.396825397,1227398.396825397,134354,
007238,MEL.3,1999-12-31,1999.0,409990600.0,409990600.0,40.1875,31.0,34.0625,17052.4709,35.083333333333336,1626946.825396825,1626946.825396825,134354,
007238,MEL.3,2000-12-31,2000.0,461890900.0,461890900.0,51.9375,26.8125,49.1875,23941.4746,42.645833333333336,1832900.396825397,1832900.396825397,134354,
007238,MEL.3,2001-12-31,2001.0,504117600.0,504117600.0,51.625,27.75,37.62,16797.6686,38.998333333333335,2000466.6666666667,2000466.6666666667,134354,
007238,MEL.3,2002-12-31,2002.0,506501800.0,506501800.0,40.8,20.42,26.11,11247.718,29.11,2009927.7777777773,2009927.7777777773,134354,
007238,MEL.3,2003-12-31,2003.0,549016017.0,549016017.0,33.83,19.89,32.11,13711.9975,28.61,2178634.988095238,2178634.988095238,134354,
007238,MEL.3,2005-12-31,2005.0,486306300.0,486306300.0,35.15,26.4,34.25,14230.1558,31.933333333333334,1929786.9047619049,1929786.9047619049,134354,
007238,MEL.3,2006-12-31,2006.0,530231000.0,530231000.0,43.08,32.78,42.15,17502.2396,39.336666666666666,2104091.26984127,2104091.26984127,134354,
007241,CVS,1998-12-31,1998.0,271609788.0,271609788.0,56.0,30.4375,55.0,21461.605,47.145833333333336,1077816.619047619,1077816.619047619,93625,
